step,epoch,loss,margin,acc,chosen_logratio,rejected_logratio,lr,sec,mps_driver_gb
33,1,0.5094,2.1724,0.5,-0.675,-1.11,4.63e-05,4.5,10.43
34,1,0.422,1.5419,0.5,-0.356,-0.664,4.60e-05,4.5,10.41
35,1,0.6482,0.0934,1.0,-0.116,-0.134,4.56e-05,4.4,10.41
36,1,0.8956,0.0036,0.5,-0.721,-0.722,4.53e-05,4.5,10.4
37,1,0.3598,0.9816,1.0,-0.234,-0.43,4.49e-05,4.4,10.4
38,1,0.247,1.3686,1.0,-0.226,-0.499,4.46e-05,4.5,10.41
39,1,0.2416,1.5778,1.0,-0.404,-0.72,4.42e-05,4.5,10.4
40,1,0.9402,1.2648,0.5,-0.783,-1.036,4.38e-05,4.5,10.41
41,1,0.1455,3.3768,1.0,-0.35,-1.025,4.34e-05,4.5,10.41
42,1,0.4927,2.9159,0.5,-0.413,-0.996,4.30e-05,4.5,10.41
43,1,0.0495,4.868,1.0,-0.663,-1.637,4.26e-05,4.5,10.42
44,1,0.0204,5.9254,1.0,-0.742,-1.927,4.21e-05,4.5,10.41
45,1,0.0007,9.9574,1.0,-0.613,-2.604,4.17e-05,4.5,10.42
46,1,0.0598,4.128,1.0,-0.965,-1.79,4.12e-05,4.4,10.43
47,1,0.1794,4.6541,1.0,-0.511,-1.442,4.08e-05,4.4,10.41
48,2,3.9767,8.8379,0.5,-3.321,-5.089,4.03e-05,4.5,10.43
49,2,1.7396,-1.5176,0.0,-4.135,-3.831,3.98e-05,4.4,10.42
50,2,0.104,4.937,1.0,-4.286,-5.273,3.94e-05,4.5,10.4
51,2,0.0013,6.6805,1.0,-3.423,-4.759,3.89e-05,4.5,10.43
52,2,0.0299,3.5046,1.0,-5.497,-6.198,3.84e-05,4.5,10.41
53,2,0.5729,1.226,0.5,-5.562,-5.807,3.78e-05,4.5,10.43
54,2,0.189,2.4614,1.0,-5.847,-6.339,3.73e-05,4.4,10.43
55,2,10.7584,-8.982,0.5,-5.963,-4.167,3.68e-05,4.5,10.41
56,2,0.0315,4.0562,1.0,-5.59,-6.401,3.63e-05,4.4,10.42
57,2,1.4787,1.3183,0.5,-5.166,-5.43,3.57e-05,4.4,10.4
58,2,0.0129,7.2204,1.0,-4.831,-6.275,3.52e-05,4.4,10.4
59,2,0.0986,2.9094,1.0,-5.265,-5.847,3.46e-05,4.4,10.41
60,2,0.017,4.3796,1.0,-5.179,-6.055,3.41e-05,4.4,10.41
61,2,0.5469,3.3152,0.5,-5.957,-6.62,3.35e-05,4.4,10.42
62,2,0.0018,6.3946,1.0,-5.128,-6.406,3.30e-05,4.4,10.43
63,2,0.3408,6.6924,1.0,-5.455,-6.793,3.24e-05,4.5,10.43
64,2,0.1327,4.1038,1.0,-4.767,-5.588,3.18e-05,4.4,10.41
65,2,0.0099,7.2979,1.0,-4.938,-6.398,3.12e-05,4.4,10.42
66,2,0.3236,9.0951,1.0,-3.318,-5.137,3.06e-05,4.4,10.42
67,2,1.461,-1.1452,0.0,-3.676,-3.447,3.01e-05,4.4,10.42
68,2,3.5909,-3.5596,0.0,-3.83,-3.118,2.95e-05,4.5,10.42
69,2,0.3367,3.0358,1.0,-4.537,-5.145,2.89e-05,4.4,10.41
70,2,0.0099,12.6773,1.0,-4.29,-6.826,2.83e-05,4.4,10.41
71,2,1.8293,6.3602,0.5,-3.763,-5.035,2.77e-05,4.4,10.41
72,2,0.1705,7.9485,1.0,-3.223,-4.813,2.71e-05,4.4,10.41
73,2,2.1011,2.0395,0.5,-3.494,-3.901,2.65e-05,4.4,10.41
74,2,0.2039,5.6346,1.0,-3.545,-4.672,2.59e-05,4.4,10.41
75,2,0.0,18.5246,1.0,-2.92,-6.625,2.53e-05,4.5,10.41
76,2,2.7778,-1.5206,0.5,-3.788,-3.484,2.47e-05,4.4,10.41
77,2,3.8097,-3.7858,0.0,-2.802,-2.045,2.41e-05,4.4,10.41
78,2,2.9287,5.2968,0.5,-2.735,-3.794,2.35e-05,4.4,10.41
79,2,0.0636,7.725,1.0,-1.954,-3.499,2.29e-05,4.4,10.4
80,2,0.0,18.1607,1.0,-1.885,-5.517,2.23e-05,4.4,10.41
81,2,0.4868,6.2694,0.5,-2.764,-4.018,2.17e-05,4.4,10.42
82,2,0.2149,4.9775,1.0,-3.236,-4.232,2.11e-05,4.4,10.42
83,2,0.0007,9.8295,1.0,-1.758,-3.724,2.05e-05,4.4,10.4
84,2,0.0,24.212,1.0,-1.956,-6.799,1.99e-05,4.4,10.42
85,2,0.005,9.6169,1.0,-1.899,-3.822,1.94e-05,4.4,10.43
86,2,0.0002,12.9775,1.0,-1.921,-4.516,1.88e-05,4.4,10.42
87,2,0.5231,7.2643,0.5,-2.228,-3.681,1.82e-05,4.4,10.41
88,2,0.0008,8.9918,1.0,-1.887,-3.686,1.76e-05,4.4,10.4
89,2,0.0711,5.3329,1.0,-1.442,-2.508,1.70e-05,4.4,10.43
90,2,0.2504,2.4921,1.0,-1.597,-2.096,1.65e-05,4.4,10.42
91,2,0.0005,9.9712,1.0,-1.755,-3.749,1.59e-05,4.4,10.41
92,2,0.0,14.9737,1.0,-2.022,-5.017,1.54e-05,4.4,10.43
93,2,0.0026,6.1952,1.0,-2.687,-3.926,1.48e-05,4.5,10.43
94,2,0.1887,3.6759,1.0,-2.043,-2.778,1.43e-05,4.4,10.43
95,3,0.051,3.6678,1.0,-1.768,-2.502,1.37e-05,4.4,10.42
96,3,0.0001,13.0419,1.0,-1.629,-4.237,1.32e-05,4.4,10.43
97,3,0.0073,5.4159,1.0,-1.803,-2.886,1.27e-05,4.4,10.42
98,3,0.0516,5.6657,1.0,-2.446,-3.579,1.22e-05,4.4,10.41
99,3,0.0694,2.6619,1.0,-1.932,-2.464,1.16e-05,4.4,10.43
100,3,0.0005,10.157,1.0,-1.521,-3.552,1.11e-05,4.4,10.43
101,3,0.0254,8.633,1.0,-1.027,-2.754,1.06e-05,4.4,10.42
102,3,0.5432,4.4044,0.5,-1.991,-2.872,1.02e-05,4.4,10.43
103,3,0.0601,6.113,1.0,-1.396,-2.619,9.68e-06,4.4,10.41
104,3,0.0912,9.7091,1.0,-0.743,-2.685,9.21e-06,4.4,10.41
105,3,0.0,15.4096,1.0,-1.574,-4.655,8.75e-06,4.4,10.42
106,3,0.0,12.9442,1.0,-2.208,-4.797,8.30e-06,4.4,10.42
107,3,0.0126,5.9986,1.0,-2.541,-3.741,7.86e-06,4.4,10.41
108,3,0.0,12.0622,1.0,-1.644,-4.057,7.43e-06,4.4,10.42
109,3,0.003,9.5552,1.0,-2.024,-3.935,7.01e-06,4.4,10.42
110,3,0.024,5.5442,1.0,-1.73,-2.839,6.60e-06,4.4,10.43
111,3,0.0,12.8674,1.0,-2.345,-4.919,6.20e-06,4.4,10.42
112,3,0.0,12.7572,1.0,-1.873,-4.425,5.81e-06,4.4,10.42
113,3,0.0,11.7167,1.0,-1.927,-4.27,5.43e-06,4.4,10.42
114,3,0.4036,0.7706,1.0,-1.56,-1.714,5.06e-06,4.4,10.43
115,3,0.0,15.2226,1.0,-2.927,-5.972,4.70e-06,4.4,10.42
116,3,0.0378,5.0504,1.0,-1.237,-2.247,4.36e-06,4.4,10.41
117,3,0.0001,15.3245,1.0,-0.963,-4.028,4.03e-06,4.5,10.42
118,3,0.1279,10.9454,1.0,-0.839,-3.028,3.71e-06,4.4,10.42
119,3,0.0,16.6609,1.0,-1.477,-4.809,3.40e-06,4.4,10.41
120,3,1.0857,0.2026,0.5,-0.997,-1.037,3.10e-06,4.4,10.41
121,3,0.0,12.724,1.0,-2.248,-4.793,2.82e-06,4.4,10.42
122,3,0.1432,10.0734,1.0,-1.61,-3.624,2.55e-06,4.4,10.43
123,3,0.0459,8.2104,1.0,-1.406,-3.048,2.29e-06,4.4,10.43
124,3,0.0024,9.4531,1.0,-1.805,-3.696,2.05e-06,4.4,10.42
125,3,1.09,1.8559,0.5,-1.678,-2.049,1.82e-06,4.4,10.43
126,3,0.016,13.3819,1.0,-0.851,-3.528,1.60e-06,4.4,10.43
127,3,0.0023,9.4168,1.0,-2.273,-4.157,1.40e-06,4.4,10.41
128,3,0.0108,7.1243,1.0,-1.944,-3.369,1.21e-06,4.4,10.43
129,3,0.0,16.1139,1.0,-2.593,-5.816,1.03e-06,4.4,10.43
130,3,0.0005,8.6438,1.0,-2.041,-3.77,8.65e-07,4.5,10.43
131,3,0.2162,9.1342,1.0,-1.082,-2.908,7.15e-07,4.4,10.43
132,3,0.0078,12.1037,1.0,-1.36,-3.781,5.80e-07,4.4,10.42
133,3,0.181,6.3891,1.0,-1.12,-2.398,4.59e-07,4.4,10.42
134,3,0.0002,11.8282,1.0,-1.526,-3.891,3.51e-07,4.4,10.43
135,3,0.7902,-0.1785,0.0,-2.091,-2.055,2.58e-07,4.4,10.42
136,3,0.0533,4.29,1.0,-2.323,-3.181,1.80e-07,4.4,10.42
137,3,0.4876,2.3267,0.5,-1.774,-2.239,1.15e-07,4.5,10.42
138,3,1.241,-0.3654,0.5,-1.595,-1.522,6.47e-08,4.4,10.43
139,3,0.1802,2.0912,1.0,-0.771,-1.189,2.88e-08,4.4,10.43
140,3,0.0,14.3893,1.0,-2.393,-5.27,7.19e-09,4.4,10.43
141,3,0.0002,12.2609,1.0,-1.675,-4.128,0.00e+00,4.4,10.41
