step,epoch,loss,margin,acc,chosen_logratio,rejected_logratio,lr,sec,mps_driver_gb
46,1,1.8168,0.5437,1.0,-0.041,-0.095,1.22e-05,6.2,11.44
47,1,2.4092,0.6546,1.0,0.015,-0.05,1.19e-05,6.2,11.43
48,2,2.2608,1.3331,1.0,-0.013,-0.147,1.15e-05,6.2,11.44
49,2,1.9858,1.2787,1.0,-0.02,-0.148,1.11e-05,6.1,11.43
50,2,2.1032,1.7556,1.0,0.03,-0.146,1.07e-05,6.2,11.43
51,2,2.1619,1.0254,1.0,0.056,-0.046,1.04e-05,6.0,11.44
52,2,1.5645,2.4723,1.0,0.042,-0.205,1.00e-05,6.3,11.43
53,2,2.5857,1.1143,1.0,-0.016,-0.127,9.63e-06,6.0,11.44
54,2,1.6749,2.1822,1.0,-0.058,-0.277,9.25e-06,6.2,11.44
55,2,2.4167,0.9183,0.5,-0.044,-0.135,8.88e-06,6.2,11.43
56,2,1.7769,2.819,1.0,0.008,-0.274,8.51e-06,6.2,11.43
57,2,2.3309,1.3961,1.0,0.025,-0.115,8.14e-06,6.1,11.43
58,2,2.474,1.6951,1.0,0.021,-0.148,7.77e-06,6.1,11.43
59,2,2.1706,0.9122,1.0,0.005,-0.086,7.41e-06,6.2,11.43
60,2,1.8385,2.2214,1.0,0.046,-0.176,7.05e-06,6.2,11.42
61,2,2.3399,1.6178,1.0,-0.054,-0.216,6.70e-06,6.2,11.43
62,2,1.8719,2.0214,1.0,-0.015,-0.217,6.35e-06,6.2,11.43
63,2,2.3022,2.3447,1.0,-0.056,-0.291,6.00e-06,6.2,11.43
64,2,1.871,2.6125,1.0,0.024,-0.237,5.66e-06,6.2,11.43
65,2,1.7312,3.2459,1.0,-0.008,-0.333,5.33e-06,6.3,11.43
66,2,1.8363,3.2686,1.0,0.111,-0.216,5.00e-06,6.2,11.43
67,2,1.2353,0.8109,1.0,0.022,-0.059,4.68e-06,6.3,11.43
68,2,2.1731,0.1819,1.0,-0.028,-0.046,4.37e-06,6.3,11.43
69,2,2.1033,1.2576,1.0,-0.144,-0.269,4.06e-06,6.3,11.43
70,2,2.0663,1.2568,1.0,-0.032,-0.158,3.77e-06,6.4,11.43
71,2,2.2212,2.6257,1.0,0.004,-0.259,3.48e-06,6.5,11.43
72,2,2.2071,1.0795,1.0,0.03,-0.078,3.20e-06,6.5,11.43
73,2,1.9906,2.032,1.0,0.007,-0.197,2.93e-06,6.5,11.43
74,2,2.1745,1.8659,1.0,-0.102,-0.289,2.67e-06,6.4,11.43
75,2,2.0542,3.9563,1.0,-0.054,-0.449,2.42e-06,6.4,11.43
76,2,2.1142,1.1587,1.0,-0.032,-0.148,2.18e-06,6.5,11.43
77,2,1.3769,1.0052,1.0,-0.013,-0.113,1.95e-06,6.4,11.43
78,2,1.8125,1.5559,1.0,-0.058,-0.214,1.74e-06,6.4,11.43
79,2,2.0633,1.4262,1.0,0.006,-0.137,1.53e-06,6.5,11.43
80,2,2.2983,3.2955,1.0,0.023,-0.307,1.34e-06,6.5,11.43
81,2,2.191,1.9031,1.0,-0.113,-0.304,1.16e-06,6.5,11.43
82,2,2.2224,2.0085,1.0,-0.151,-0.352,9.90e-07,6.8,11.43
83,2,1.3245,1.9933,1.0,-0.02,-0.219,8.34e-07,6.6,11.43
84,2,1.3295,1.4507,0.5,-0.036,-0.181,6.91e-07,6.7,11.43
85,2,1.6896,3.7435,1.0,-0.032,-0.407,5.61e-07,6.6,11.44
86,2,2.0179,2.792,1.0,-0.01,-0.289,4.44e-07,6.6,11.43
87,2,2.1764,2.7158,1.0,-0.122,-0.393,3.41e-07,6.7,11.43
88,2,2.3232,3.1903,1.0,-0.015,-0.334,2.51e-07,6.8,11.42
89,2,1.92,2.2491,1.0,-0.011,-0.236,1.74e-07,6.5,11.44
90,2,1.103,1.4594,1.0,-0.006,-0.152,1.12e-07,6.6,11.43
91,2,1.9283,2.7957,1.0,-0.078,-0.357,6.29e-08,6.6,11.43
92,2,1.9483,1.9341,1.0,-0.074,-0.267,2.80e-08,6.5,11.43
93,2,2.1279,2.4719,1.0,-0.17,-0.417,6.99e-09,6.7,11.43
94,2,1.1118,2.2653,1.0,-0.033,-0.259,0.00e+00,7.1,11.43
