step,epoch,loss,margin,acc,chosen_logratio,rejected_logratio,lr,sec,mps_driver_gb
70,2,1.1769,-0.5957,0.5,-0.853,-0.734,2.91e-05,1.0,5.23
71,2,0.0015,7.5916,1.0,-0.183,-1.702,2.85e-05,2.5,5.23
72,2,0.4137,2.0883,0.5,-0.596,-1.013,2.79e-05,1.0,5.23
73,2,0.2362,2.4678,1.0,-0.332,-0.825,2.73e-05,1.0,5.23
74,2,0.0204,5.5454,1.0,-0.674,-1.783,2.68e-05,1.0,5.23
75,2,0.2024,3.4801,1.0,-0.311,-1.007,2.62e-05,0.9,5.23
76,2,0.005,6.8431,1.0,-0.048,-1.417,2.56e-05,1.0,5.23
77,2,1.4641,-1.1305,0.0,-0.698,-0.472,2.50e-05,1.0,5.23
78,2,0.215,2.1093,1.0,-0.339,-0.761,2.44e-05,0.9,5.23
79,2,1.6195,-1.2865,0.0,-0.457,-0.199,2.38e-05,1.0,5.23
80,2,0.4276,0.867,1.0,-0.514,-0.687,2.32e-05,1.0,5.23
81,2,0.1752,2.6207,1.0,-0.104,-0.628,2.27e-05,0.9,5.24
82,2,0.0253,4.0009,1.0,-0.361,-1.162,2.21e-05,1.0,5.23
83,2,0.2047,2.1645,1.0,-0.416,-0.849,2.15e-05,0.9,5.23
84,2,0.0875,4.8503,1.0,-0.106,-1.076,2.09e-05,0.9,5.23
85,2,0.1414,1.971,1.0,-0.631,-1.025,2.03e-05,1.0,5.23
86,2,0.6106,3.1967,0.5,-0.337,-0.977,1.98e-05,1.0,5.23
87,2,0.3458,1.6353,1.0,-0.206,-0.533,1.92e-05,1.0,5.23
88,2,0.0281,3.5565,1.0,-0.336,-1.047,1.86e-05,0.9,5.23
89,2,0.0112,5.1577,1.0,-0.618,-1.649,1.81e-05,1.0,5.23
90,2,0.0443,3.4698,1.0,-0.406,-1.1,1.75e-05,1.0,5.24
91,2,1.2267,2.335,0.5,-1.055,-1.522,1.69e-05,1.0,5.23
92,2,0.9588,0.4488,0.5,-0.304,-0.393,1.64e-05,1.0,5.23
93,2,0.6517,1.2687,0.5,-0.514,-0.768,1.58e-05,1.0,5.23
94,2,0.9016,3.5299,0.5,-0.311,-1.017,1.53e-05,1.0,5.23
95,2,0.3043,1.2519,1.0,-0.447,-0.697,1.48e-05,1.0,5.23
96,2,0.252,3.2341,1.0,-0.212,-0.858,1.42e-05,1.0,5.23
97,3,0.0212,4.8281,1.0,-0.46,-1.425,1.37e-05,1.0,5.23
98,3,0.0604,5.3264,1.0,-0.221,-1.286,1.32e-05,1.0,5.23
99,3,0.4959,3.1681,0.5,-0.339,-0.973,1.27e-05,1.0,5.23
100,3,0.0624,4.0399,1.0,-0.306,-1.114,1.22e-05,1.0,5.23
101,3,1.1348,3.0601,0.5,-0.365,-0.977,1.17e-05,1.0,5.23
102,3,0.0918,2.6019,1.0,-0.237,-0.757,1.12e-05,1.0,5.23
103,3,0.1263,2.5357,1.0,-0.198,-0.705,1.07e-05,1.0,5.23
104,3,0.0491,3.3572,1.0,-0.177,-0.848,1.02e-05,1.0,5.23
105,3,0.0175,4.0367,1.0,-0.75,-1.557,9.74e-06,1.0,5.23
106,3,0.2418,5.176,1.0,-0.541,-1.576,9.28e-06,2.6,5.23
107,3,0.0448,4.8694,1.0,-0.258,-1.232,8.83e-06,1.0,5.23
108,3,0.0443,4.0559,1.0,-0.381,-1.192,8.39e-06,0.9,5.23
109,3,0.043,3.8823,1.0,-0.382,-1.158,7.95e-06,1.4,5.23
110,3,0.035,3.3441,1.0,-0.206,-0.875,7.53e-06,2.2,5.24
111,3,0.002,6.2197,1.0,-0.241,-1.485,7.12e-06,1.0,5.23
112,3,0.0415,6.3463,1.0,-0.241,-1.51,6.71e-06,1.1,5.23
113,3,1.2798,1.8124,0.5,-0.634,-0.996,6.32e-06,2.7,5.23
114,3,0.0003,8.0969,1.0,-0.703,-2.322,5.93e-06,1.0,5.24
115,3,0.221,3.0558,1.0,-0.44,-1.051,5.56e-06,0.9,5.23
116,3,0.0174,4.3138,1.0,-0.162,-1.025,5.20e-06,1.0,5.23
117,3,0.0004,8.1833,1.0,-0.339,-1.976,4.84e-06,3.3,5.23
118,3,1.3629,-1.0366,0.0,-0.594,-0.386,4.50e-06,2.6,5.23
119,3,0.1405,2.4787,1.0,-0.37,-0.866,4.17e-06,1.2,5.23
120,3,1.1086,0.9096,0.5,-0.631,-0.813,3.85e-06,1.0,5.23
121,3,0.0046,6.2226,1.0,-0.24,-1.484,3.55e-06,1.1,5.23
122,3,0.2645,1.2556,1.0,-0.35,-0.601,3.25e-06,3.6,5.23
123,3,0.5968,0.5368,0.5,-0.75,-0.858,2.97e-06,2.2,5.23
124,3,0.0477,5.7606,1.0,-0.338,-1.49,2.70e-06,3.2,5.23
125,3,0.0056,6.229,1.0,-0.208,-1.454,2.44e-06,4.4,5.23
126,3,0.1807,3.3211,1.0,-0.392,-1.056,2.19e-06,1054.0,5.24
127,3,2.2036,0.4901,0.5,-0.781,-0.879,1.96e-06,1.3,5.23
128,3,0.032,3.5384,1.0,-0.566,-1.273,1.74e-06,1.1,5.23
129,3,0.0003,8.2124,1.0,-0.189,-1.831,1.53e-06,1.0,5.24
130,3,0.8386,0.7834,0.5,-1.053,-1.21,1.33e-06,1.0,5.24
131,3,1.0023,-0.1858,0.5,-0.5,-0.463,1.15e-06,1.0,5.23
132,3,0.0013,6.9578,1.0,-0.413,-1.805,9.83e-07,1.0,5.23
133,3,0.5497,2.5111,0.5,-0.187,-0.69,8.27e-07,1.0,5.23
134,3,0.3645,0.9197,1.0,0.05,-0.134,6.84e-07,1.0,5.23
135,3,0.1494,1.8544,1.0,-0.3,-0.671,5.54e-07,1.0,5.23
136,3,0.0045,7.2284,1.0,-0.928,-2.374,4.38e-07,1.0,5.23
137,3,0.0333,3.7279,1.0,-0.254,-0.999,3.36e-07,1.0,5.23
138,3,0.6525,2.0053,0.5,-0.714,-1.115,2.47e-07,1.0,5.23
139,3,0.0302,5.266,1.0,-0.669,-1.722,1.72e-07,1.0,5.23
140,3,0.4727,2.0459,0.5,-0.634,-1.044,1.10e-07,0.9,5.23
141,3,0.0079,5.2922,1.0,-0.73,-1.788,6.18e-08,1.0,5.23
142,3,0.277,1.1567,1.0,-0.434,-0.666,2.75e-08,1.0,5.23
143,3,0.1466,3.357,1.0,-0.271,-0.943,6.87e-09,1.0,5.23
144,3,0.0219,3.8428,1.0,-0.475,-1.244,0.00e+00,1.0,5.24
